2023-08-12 20:24:53,206 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_8', 'D_T'], 'force': None, 'active': True} cards: ['T_8', 'D_T'] type: <class 'list'>
2023-08-12 20:24:55,551 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_8', 'D_T'], 'force': None, 'active': True} cards: ['T_8', 'D_T'] type: <class 'list'>
2023-08-12 20:24:57,906 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_8', 'D_T'], 'force': None, 'active': True} cards: ['T_8', 'D_T'] type: <class 'list'>
2023-08-12 20:25:00,285 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_8', 'D_T'], 'force': None, 'active': True} cards: ['T_8', 'D_T'] type: <class 'list'>
2023-08-12 20:25:02,376 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_8', 'D_T'], 'force': None, 'active': True} cards: ['T_8', 'D_T'] type: <class 'list'>
2023-08-12 20:25:04,688 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_8', 'D_T'], 'force': None, 'active': True} cards: ['T_8', 'D_T'] type: <class 'list'>
2023-08-12 20:25:07,076 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_8', 'D_T'], 'force': None, 'active': True} cards: ['T_8', 'D_T'] type: <class 'list'>
2023-08-12 20:25:09,526 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_8', 'D_T'], 'force': None, 'active': True} cards: ['T_8', 'D_T'] type: <class 'list'>
2023-08-12 20:25:13,289 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_8', 'D_T'], 'force': None, 'active': False} cards: ['T_8', 'D_T'] type: <class 'list'>
2023-08-12 20:25:15,830 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_8', 'D_T'], 'force': None, 'active': False} cards: ['T_8', 'D_T'] type: <class 'list'>
2023-08-12 20:25:18,307 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_8', 'D_T'], 'force': None, 'active': False} cards: ['T_8', 'D_T'] type: <class 'list'>
2023-08-12 20:25:24,536 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:25:26,877 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:25:29,288 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:25:31,641 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:25:34,027 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:25:36,427 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:25:38,857 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:25:41,259 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:25:43,741 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:25:46,177 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:25:48,677 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:25:51,127 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:25:53,353 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:25:55,650 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:25:57,935 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:26:00,234 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:26:02,590 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:26:04,906 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:26:07,248 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:26:09,610 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:26:12,046 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:26:14,352 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:26:16,835 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:26:19,297 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:26:21,757 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:26:24,077 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:26:26,477 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:26:28,889 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:26:31,227 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:26:33,541 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:26:35,811 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:26:38,042 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:26:40,577 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:26:42,879 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:26:45,428 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:26:47,800 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:26:50,179 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:26:52,578 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:26:54,928 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:26:57,278 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:27:00,105 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:27:02,539 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:27:04,829 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:27:07,078 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:27:09,493 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:27:11,853 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:27:14,237 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:27:16,588 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:27:18,893 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:27:21,094 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:27:23,434 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:27:25,849 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:27:28,228 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:27:30,502 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:27:32,807 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:27:35,093 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:27:37,433 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
2023-08-12 20:27:39,856 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_K', 'T_A'], 'force': None, 'active': True} cards: ['T_K', 'T_A'] type: <class 'list'>
